Fistula, anal	7335	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Fistula, anorectal	7335-7332	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Fistula, bladder	7516	GU Urinary tract (bladder & urethra)	Ur tract	Special Examinations (Genitourinary)
Fistula, bronchocutaneous	6899-6820/6844	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Fistula, intestinal	7330	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Fistula, rectovaginal	7624	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Fistula, urethral	7519	GU Urinary tract (bladder & urethra)	Ur tract	Special Examinations (Genitourinary)
Fistula, urethrovaginal	7625	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Fistulectomy	7336-7325	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Flail hip	5254	MUSC Hip & thigh	Hip	Musculoskeletal (Joints)
Flatfoot (pes planus) acquired	5276	MUSC Foot Conditions including flatfoot (pes planus)	Flatfoot	Musculoskeletal (Feet)
Flutter, auricular	7010	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Folic Acid Deficiency	7721	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Folliculitis	7806 or 7813	DERM Skin	Skin	Skin (Skin Disease)
Foot drop	8521	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Foot fungus	7813	DERM Skin	Skin	Skin (Skin Disease)
Foot ulcer	7804	DERM Skin	Skin	Skin (Skin Disease)
Forearm, limitation of extention	5207	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Forearm, limitation of extention and flexion	5208	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Forearm, limitation of flexion	5206	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Fracture, residuals of: Ankle	5271	MUSC Ankle	Ankle	Musculoskeletal (Joints)
Fracture, residuals of: Calcaneus	5284	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Carpal navicular bone	5215	MUSC Wrist	Wrist	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Cervical spine	5235	MUSC Neck (cervical spine)	Neck	Musculoskeletal (Spine)
Fracture, residuals of: Clavicle	5203	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Compression type, lumbar vertebra	5235	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Fracture, residuals of: Elbow	5299-5209	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Fracture, residuals of: Femur	5255	MUSC Hip & thigh	Hip	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Fibula	5262	MUSC Knee & lower leg	Knee	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Finger	5216 to 5230	MUSC Hand & finger	Hand	Musculoskeletal (Hand, Thumb &  Fingers)
Fracture, residuals of: Hip	5255	MUSC Hip & thigh	Hip	Musculoskeletal (Joints)
Fracture, residuals of: Humerus	5299-5202	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Knee	5299-5262	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Fracture, residuals of: Nose	6502	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Fracture, residuals of: Os calcis or astragalus	5273	MUSC Ankle	Ankle	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Pelvis	5299-5255	MUSC Hip & thigh	Hip	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Radius	5299-5212	MUSC Elbow & forearm	Elbow	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Rib	5299-5297	No DBQ available, use Legacy Examination Worksheet	N/A	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Skull	5299-5296	NEURO TBI Initial/Review	TBI-I/TBI-R	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Skull with neuro residuals	8245	NEURO Central nervous system/TBI Initial/Review	CNS/TBI-I/TBI-R	Neurologic (Brain and Spinal Cord)
Fracture, residuals of: Spine	5235	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Fracture, residuals of: Sternum	5299	MUSC Muscle injuries/RESP Respiratory conditions	Muscle/Resp	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Tibia	5262	MUSC Knee & lower leg	Knee	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Toes	5283	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Fracture, residuals of: Ulna	5299-5211	MUSC Elbow & forearm	Elbow	Musculoskeletal (Bone Disease/Fractures)
Fracture, residuals of: Vertebra	5235	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Fracture, residuals of: Wrist	5299-5215	MUSC Wrist	Wrist	Musculoskeletal (Joints)
Fracture, vertebra, compression, with hypertrophic arthritis	5235	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Fracture, vertebra, residuals of	5235	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Frolich's syndrome	7912	ENDO Endocrine: miscellaneous	Endo	Endocrine (Endocrine Diseases, Misc.)
Frostbite	7122	Cold injury residuals	Cold Inj	Special Examinations (Cold Injury Protocol Examination)
Frozen feet	7122	Cold injury residuals	Cold Inj	Special Examinations (Cold Injury Protocol Examination)
Functional bowel syndrome	7319	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Fungus infection	7813	DERM Skin	Skin	Skin (Skin Disease)
Furuncle	7819	DERM Skin	Skin	Skin (Skin Disease)
Fusion, toes	5299-5278	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Gall bladder, injury of	7317	GI Gallbladder & pancreas	GB	Digestive (Liver, Gall Bladder & Pancreas)
Gall bladder, removal of	7317	GI Gallbladder & pancreas	GB	Digestive (Liver, Gall Bladder & Pancreas)
Ganglion cyst	7819	DERM Skin	Skin	Skin (Skin Disease)
Ganglion, wrist	5015-7819	DERM Skin/MUSC Wrist	Skin/Wrist	Musculoskeletal (Joints)
Gas inhalation, residuals of	6699-6600	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Gastrectomy, PO with anemia	7308	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Gastrectomy, residuals of	7308	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Gastrectomy, subtotal	7308	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Gastrectomy, subtotal, with vagotomy	7308	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Gastric ulcer	7304	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Gastritis, atrophic	7399-7307	GI Stomach & duodenum/Intestines (other than surgical or infectious)	Stomach/GI other	Digestive (Stomach, Duodenum, Peritoneal)
Gastritis, catarrhal	7399-7307	GI Stomach & duodenum/Intestines (other than surgical or infectious)	Stomach/GI other	Digestive (Stomach, Duodenum, Peritoneal)
Gastritis, hypertrophic	7399-7307	GI Stomach & duodenum/Intestines (other than surgical or infectious)	Stomach/GI other	Digestive (Stomach, Duodenum, Peritoneal)
Gastroenteritis	7399-7307	GI Stomach & duodenum/Intestines (other than surgical or infectious)	Stomach/GI other	Digestive (Stomach, Duodenum, Peritoneal)
Gastroesophageal reflux disease (GERD)	7299-7346	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Gastrointestinal bleeding	7399-7323	GI Intestines (other than surgical or infectious)	GI other	Digestive (Stomach, Duodenum, Peritoneal)
Gastrointestinal disorder, functional	7399-7319	GI Intestines (other than surgical or infectious)	GI other	Digestive (Stomach, Duodenum, Peritoneal)
Generalized anxiety disorder	9400	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Genitourinary system neoplasms, benign	7529	GU Urinary tract (bladder & urethra)/Kidney (nephrology)/Male reproductive system	Ur tract/Kidney/Male	Special Examinations (Genitourinary)
Genitourinary system neoplasms, malignant	7528	GU Urinary tract (bladder & urethra)/Kidney (nephrology)/Prostate cancer/Male reproductive system	Ur tract/Kidney/Prostate/Male	Specialist Exams (GU-Renal or Urology)--BACK of worksheet
Genu recurvatum	5263	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
GERD (gastroesophageal reflux disease)	7299-7346	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Giardiasis	7399-7321	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Gigantism (acromegaly)	7908	ENDO Endocrine: miscellaneous	Endo	Endocrine (Acromegaly)
Glaucoma, aphakic	6013-6029	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Glaucoma, congestive (inflammatory)	6012	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Glaucoma, noncongestive, (simple or primary)	6013	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Glioblastoma	8002	NEURO Central nervous system	CNS	Specialist Exams (Neurology)--BACK of worksheet
Glomerulonephritis	7536	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal or Urology)--BACK of worksheet
Glycosuria	7999-7913	ENDO Diabetes mellitus	DM	Endocrine (Diabetes Mellitus)
Goiter	7999-7902	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Gonorrhea	7599-7512	GU Male reproductive system/GYN Gynecological conditions	Male/GYN	Special Examinations (Genitourinary)
Gonorrheal arthritis	5004	MUSC Arthritis: non-degen (inflam, imm, cryst, infect)	Arth	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Gout	5017	MUSC Arthritis: non-degen (inflam, imm, cryst, infect)	Arth	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Granuloma, lung	6820	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Granuloma, talc (assoc. with IV Heroin abuse)	6820-6829	RESP Respiratory conditions	Resp	Skin (Skin Disease)
Granulomatous rhinitis	6524	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Grave's disease	7999-7900	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Growths, new, benign: Bones	5015	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Bone Disease/Fractures)
Growths, new, benign: Brain	8003	NEURO Central nervous system	CNS	Neurologic (Neurological Disorders, Misc.)
Growths, new, benign: Breast	7631	GYN Breast conditions and disorders	GYN/Breast	Special Examinations (Gynecological/Breasts)
Growths, new, benign: Digestive system	7344	GI Esophagus/Gallbladder & pancreas/Liver conditions/Intestines/Stomach & duodenum/GEN SURG Rectum & anus	Esoph/GB/Liver/GI other/GI infec/GI surg/Stomach/Rectum	Digestive (Digestive Conditions, Misc.)
Growths, new, benign: Ear	6209	ENT Ear conditions/DERM Skin	Ear/Skin	Organs of Sense (Ear Disease)
Growths, new, benign: Endocrine system	7915	ENDO Thyroid & parathyroid/Endocrine: miscellaneous	Thyroid/Endo	Endocrine (Endocrine Diseases, Misc.)
Growths, new, benign: Eyeball and adnexa	6015	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Growths, new, benign: Genitourinary system	7529	GU Urinary tract (bladder & urethra)/Kidney (nephrology)/Male reproductive system	Ur tract/Kidney/Male	Special Examinations (Genitourinary)
Growths, new, benign: Gynecological system	7628 or 7631	GYN Gynecological conditions/Breast conditions and disorders	GYN/Breast	Special Examinations (Gynecological/Breasts)
Growths, new, benign: Joints	5015	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints)
Growths, new, benign: Muscles	5328	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Growths, new, benign: Respiratory	6820	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Growths, new, benign: Skin	7819	DERM Skin	Skin	Skin (Skin Disease)
Growths, new, benign: Spinal cord	8022	NEURO Central nervous system	CNS	Neurologic (Neurological Disorders, Misc.)
Growths, new, malignant: Bones	5012	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Specialist Exams (Ortho or Rheumatology)--BACK of worksheet*
Growths, new, malignant: Brain	8002	NEURO Central nervous system	CNS	Specialist Exams (Neurology)--BACK of worksheet*
Growths, new, malignant: Breast	7630	GYN Breast conditions and disorders	Breast	Specialist Exams (GYN-Gynecology/Breasts)--BACK of worksheet*
Growths, new, malignant: Digestive system	7343	GI Esophagus/Gallbladder & pancreas/Liver conditions/Intestines/Stomach & duodenum/GEN SURG Rectum & anus	Esoph/GB/Liver/GI other/GI infec/GI surg/Stomach/Rectum	Specialist Exams (Digestive [Gastroenterology])*
Growths, new, malignant: Ear	6208	ENT Ear conditions/DERM Skin	Ear/Skin	Organs of Sense (Ear Disease)*
Growths, new, malignant: Endocrine system	7914	ENDO Thyroid & parathyroid/Endocrine: miscellaneous	Thyroid/Endo	Specialist Exams Endocrine (Endocrinology)-BACK of worksheet*
Growths, new, malignant: Eyeball only	6014	OPTO Eye	Eyes	Organs of Sense (Eye Examination)*
Growths, new, malignant: Genitourinary system	7528	GU Urinary tract (bladder & urethra)/Kidney (nephrology)/Prostate cancer/Male reproductive system	Ur tract/Kidney/Prostate/Male	Specialist Exams (GU-Renal or Urology)--BACK of worksheet*
Growths, new, malignant: Gynecological system	7627 or 7630	GYN Gynecological conditions/Breast conditions and disorders	GYN/Breast	Specialist Exams (GYN-Gynecology/Breasts)--BACK of worksheet*
Growths, new, malignant: Muscle	5327	MUSC Muscle injuries	Muscle	Specialist Exams (Ortho or Rheumatology)--BACK of worksheet*
Growths, new, malignant: Respiratory	6819	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)*
Growths, new, malignant: Skin	7818	DERM Skin	Skin	Specialist Exams (Skin [Dermatology])--BACK of worksheet*
Growths, new, malignant: Spinal cord	8021	NEURO Central nervous system	CNS	Specialist Exams (Neurology)--BACK of worksheet*
Gynecological system neoplasms, malignant	7627	GYN Gynecological conditions/Breast conditions and disorders	GYN/Breast	Specialist Exams (GYN-Gynecology/Breasts)--BACK of worksheet*
Hairy cell leukemia	7703	HEM Hairy Cell & other B-cell leukemias	Leuk	Specialist Exams (Hematology)
Hallux rigidus	5281	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Hallux valgus	5280	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Hammer toe	5282	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Hansen's disease (leprosy)	6302	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Hard palate, loss of half or more	9911	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Hard palate, loss of less than half	9912	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Hashimoto's thyroiditis	7903	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Hay fever	6599-6522	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Headaches, cephalgia	8199-8100	NEURO Headaches (including migraine headaches)	HA	Neurologic (Neurological Disorders, Misc.)
Headaches, migraine	8100	NEURO Headaches (including migraine headaches)	HA	Neurologic (Neurological Disorders, Misc.)
Hearing loss	6100 to 6110	AUDIO Hearing loss & tinnitus	Audio	Organs of Sense (Audio Examination)
Heart disease: Arterioscerotic	7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Heart disease: Beriberi	6314-7020	NUTRI Nutritional deficiencies/CARDIO Heart	Nutri	Cardiovascular System (Heart)
Heart disease: Hypertensive	7007	CARDIO Heart	Heart	Cardiovascular System (Heart)
Heart disease: Hyperthyroid	7008	CARDIO Heart	Heart	Cardiovascular System (Heart)
Heart disease: Rheumatic	7000	CARDIO Heart	Heart	Cardiovascular System (Heart)
Heart disease: Valvular	7000	CARDIO Heart	Heart	Cardiovascular System (Heart)
Heart failure, congestive	7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Heart failure, congestive with arterial hypertension	7007	CARDIO Heart	Heart	Cardiovascular System (Heart)
Heart transplant	7019	CARDIO Heart	Heart	Cardiovascular System (Heart)
Heart valve replacement	7016	CARDIO Heart	Heart	Cardiovascular System (Heart)
Heat exhaustion	8999	not a ratable condition unless there is an underlying disability	N/A	 
Helminthiasis	7399-7324	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Hemalytic icterus/jaundice (anemia)	7345-7723	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Hemangioma, benign, of esophagus	7203-7344	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Hemangioma, malignant, of esophagus	7203-7343	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Hemangiona, cavernous, third lumbar vertebra	5015-5237	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Hematemesis	7299-7203	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Hematomyelia	8012	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Hematuria	7599-7502	GU Urinary tract (bladder & urethra)/Kidney (nephrology)	Ur tract/Kidney	Special Examinations (Genitourinary)
Hemeparesis	8099 varies depending on nerve(s)	NEURO Central nervous system/Peripheral nerves	CNS/P Nerves	Neurologic (Peripheral Nerves)
Hemeplegia	8099 varies depending on nerve(s)	NEURO Central nervous system/Peripheral nerves	CNS/P Nerves	Neurologic (Peripheral Nerves)
Hemianopia (Hemianopsia)	6080	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Hemilaminectomy, lumbar	5235 to 5243	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Hemoglobinopathy	7799-7723	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Hemolytic icterus/jaundice (anemia)	7345-7723	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Hemorrhage, brain vessels	8009	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Hemorrhage, intraocular	6007	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Hemorrhage, retinal	6007	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Hemorrhoidectomy	7336	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
